City,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp (C),Wind Speed
New Norfolk,75,1580520402,72,-42.78,147.06,24.44,5.1
Punta Arenas,75,1580520403,62,-53.15,-70.92,12.0,4.1
Ribeira Grande,98,1580520403,90,38.52,-28.7,16.33,10.06
Neuquen,1,1580520403,28,-38.95,-68.06,28.0,3.1
Yellowknife,40,1580520403,83,62.46,-114.35,-20.56,1.5
Hudson Bay,39,1580520403,74,52.85,-102.38,-0.14,5.94
Logan Lake,75,1580520403,80,50.5,-120.8,7.0,9.3
Saint-Augustin,1,1580520416,82,51.23,-58.65,-14.39,5.09
Guarapari,97,1580519920,83,-20.67,-40.5,27.0,6.2
Arraial do Cabo,40,1580520416,94,-22.97,-42.03,24.0,1.5
Mataura,100,1580520417,54,-46.19,168.86,21.76,5.15
Cheyenne,1,1580520360,55,41.14,-104.82,7.78,4.6
Am Timan,0,1580520417,15,11.03,20.28,18.01,2.27
Avera,90,1580520417,93,33.19,-82.53,6.0,2.6
